"variable","form_name","label","type","choices"
"ecpr_rhythm_cann","run","ECPR rhythm at cannulation","text",""
"ecpr_etco2","run","ECPR end-tidal CO2 monitoring","text",""
"ecpr_etco2val","run","ECPR ETCO2 value","text",""
"ecpr_art_acc","run","ECPR invasive arterial access","text",""
"ecpr_dbpflow","run","ECPR DBP at flow start","text",""
"ecpr_nirs","run","ECPR cerebral NIRS","text",""
"ecpr_nirsval","run","ECPR NIRS value","text",""
"ecpr_cprfb","run","ECPR CPR feedback device","text",""
"ecpr_signs","run","ECPR signs of life pre-ECLS","text",""
"ecpr_nmb","run","ECPR neuromuscular blockade use","text",""
"ecpr_neuro","run","ECPR no neurologic investigation","text",""
"ecpr_temp_mgmt","run","ECPR temperature management","text",""
"ecpr_temp_hi","run","ECPR highest temp 24h","text",""
"ecpr_temp_lo","run","ECPR lowest temp 24h","text",""
"ea_run","ecpr_ante","ECPR antecedent run","text",""
"ea_code","ecpr_ante","ECPR antecedent event code","text",""
"ec_run","ecpr_cmc","ECPR co-morbid run","text",""
"ec_code","ecpr_cmc","ECPR co-morbid condition code","text",""
"em_run","ecpr_med","ECPR medication run","text",""
"em_code","ecpr_med","ECPR medication code","text",""
"trauma_ais_head","run","Trauma AIS head","text",""
"trauma_ais_face","run","Trauma AIS face","text",""
"trauma_ais_neck","run","Trauma AIS neck","text",""
"trauma_ais_thorax","run","Trauma AIS thorax","text",""
"trauma_ais_abd","run","Trauma AIS abdomen","text",""
"trauma_ais_spine","run","Trauma AIS spine","text",""
"trauma_ais_ue","run","Trauma AIS upper extremity","text",""
"trauma_ais_le","run","Trauma AIS lower extremity","text",""
"trauma_ais_ext","run","Trauma AIS external/other","text",""
"trauma_surg","run","Trauma patient surgical procedure","text",""
"trauma_dcs","run","Trauma damage control surgery","text",""
"trauma_bp24","run","Trauma received blood products 24h","text",""
"trauma_bp72","run","Trauma received blood products 72h","text",""
